,Id,type_id,Name,Web,Email,Tel,Position,Sector
0,1,1,Lanzadera,https://lanzadera.es,info@lanzadera.es,963568585,General,Emprendimiento
1,2,1,Edem,https://edem.eu,info@edem.es,963531065,General,Educación
2,3,1,Angels Capital,https://www.angelscapital.es,info@angelscapital.es,963568585,General,Inversión
3,4,1,AAA,https://www.triplea.edem.es,triplea@edem.es,963531065,General,organización sin ánimo de lucro
4,5,2,ACS Actividades de Construccion y Servicios SA,https://www.grupoacs.com,acs@empresa.com,913439200,General,Industriales
5,6,2,Acciona,https://www.acciona.com,acciona@empresa.com,916632850,General,Industriales
6,7,2,Acerinox,https://www.acerinox.com,acerinox@empresa.com,913985100,General,Materiales básicos
7,8,2,Amadeus IT,https://www.amadeus.com,amadeus@empresa.com,915820100,General,Consumo cíclico
8,9,2,Atresmedia,https://www.atresmediacorporacion.com,atresmedia@empresa.com,916230500,General,Servicios de comunicación
9,10,2,Bankinter,https://www.bankinter.com,bankinter@empresa.com,913397500,General,Servicios financieros
10,11,2,Distribuidora Internacional de Alimentacion SA,https://diacorporate.com,dia@empresa.com,913985400,General,Consumidores a la defensiva
11,12,2,Ebro Foods,https://www.ebrofoods.es,ebrofoods@empresa.com,917245250,General,Consumidores a la defensiva
12,13,2,Enagas,https://www.enagas.es,enagas@empresa.com,917099230,General,Servicios
13,14,2,Endesa SA,https://www.endesa.com,endesa@empresa.com,912131503,General,Servicios
14,15,2,FCC,https://www.fcc.es,fcc@empresa.com,913595400,General,Industriales
15,16,2,Ferrovial,https://www.ferrovial.com,ferrovial@empresa.com,915862500,General,Industriales
16,17,2,Grifols SA,https://www.grifols.com,grifols@empresa.com,935710500,General,Sanidad
17,18,2,Iberdrola,https://www.iberdrola.com,iberdrola@empresa.com,917842915,General,Servicios
18,19,2,Inditex,https://www.inditex.com,inditex@empresa.com,981185400,General,Consumo cíclico
19,20,2,Indra A,https://www.indracompany.com,indraa@empresa.com,914805002,General,Tecnología
20,21,2,Inmobiliaria Colonial SA,https://www.inmocolonial.com,inmobiliariacolonial@empresa.com,934047900,General,Real Estate
21,22,2,Mapfre,https://www.mapfre.com,mapfre@empresa.com,915812318,General,Servicios financieros
22,23,2,Obrascon Huarte Lain SA,https://www.ohl.es,ohl@empresa.com,913484100,General,Industriales
23,24,2,Red Electrica Corporacion SA,https://www.ree.es,redelectrica@empresa.com,916508500,General,Servicios
24,25,2,Repsol,https://www.repsol.com,repsol@empresa.com,917538100,General,Energía
25,26,2,Sacyr SA,https://www.sacyr.com,sacyr@empresa.com,915455000,General,Industriales
26,27,2,Banco Santander,https://www.santander.com,santander@empresa.com,912596520,General,Servicios financieros
27,28,2,Tecnicas Reunidas,https://www.tecnicasreunidas.es,tecnicasreunidas@empresa.com,915920300,General,Industriales
28,29,2,Telefonica,https://www.telefonica.com,telefonica@empresa.com,900111004,General,Servicios de comunicación
29,30,2,Aceites-Albert,https://edem.eu,aceitesalbert@empresa.com,964189999,General,Alimentación
30,31,3,Acotral,http://www.acotral.com,acotral@empresa.com,964879898,General,Transporte de mercancías
31,32,3,Actiu,https://www.actiu.com,actiu@empresa.com,963368686,General,Fabricación de mobiliario.
32,33,3,Ahora,https://www.ahora.es,ahora@empresa.com,963901111,General,Software service
33,34,3,Alberta-Norweg,https://www.albertanorweg.es,albertanorweg@empresa.com,963804040,General,Consultoría
34,35,3,American-Express,https://www.americanexpress.com,americanexpress@empresa.com,964651919,General,Financiero/medios de pago
35,36,3,Andreu-World,https://www.andreuworld.com,andreuworld@empresa.com,964190101,General,Muebles
36,37,3,Antonio-Tarazona,https://www.antoniotarazona.com,antoniotarazona@empresa.com,964190404,General,Fertilizantes
37,38,3,Apisol,http://apisol.es,apisol@empresa.com,963837878,General,Alimentación
38,39,3,Argimiro-Joyero,https://argimirojoyero.com,argimirojoyero@empresa.com,964947272,General,Joyería
39,40,3,Atribus,https://www.atribus.com,atribus@empresa.com,963269191,General,Marketing digital y data analytics
40,41,3,Auren,https://auren.com,auren@empresa.com,963090707,General,Consultoría estratégica
41,42,3,Avanza-Urbana,http://avanzaurbana.com,avanzaurbana@empresa.com,963817272,General,Inmobiliario
42,43,3,BigBuy,https://www.bigbuy.eu,bigbuy@empresa.com,964581919,General,Distribución
43,44,3,Broseta,https://www.broseta.com,broseta@empresa.com,964827171,General,Servicios jurídicos
44,45,3,Carmencita,https://carmencita.com,carmencita@empresa.com,964013636,General,Alimentación
45,46,3,Chic-kles-Gum,https://www.chic-kles.com,chicklesgum@empresa.com,964624040,General,Alimentación
46,47,3,Chocolates-Valor,https://www.valor.es,chocolatesvalor@empresa.com,964198686,General,Alimentación
47,48,3,Comelsa-Milar,https://www.milar.es,comelsamilar@empresa.com,963739292,General,Compras y servicios electrónicos
48,49,3,Comercial-Virosque,http://www.grupovirosque.es,comercialvirosque@empresa.com,963822929,General,Transportes
49,50,3,Compac,http://www.compac.es,compac@empresa.com,964478585,General,Superficies decorativas
50,51,3,Costa-Brava-Mediterranean-Foods,https://www.costabravafoods.com,costabravamediterraneanfoods@empresa.com,964179191,General,Cárnico
51,52,3,Cuatrecasas,https://www.cuatrecasas.com,cuatrecasas@empresa.com,963637373,General,Actividades jurídicas
52,53,3,Delibreads,http://www.delibreads.com,delibreads@empresa.com,963194545,General,Alimentación
53,54,3,Digital-Menta,https://www.digitalmenta.com,digitalmenta@empresa.com,963480303,General,Marketing Digital
54,55,3,Disfrimur,https://edem.eu,disfrimur@empresa.com,964928888,General,Transporte de mercancías
55,56,3,Ecija,https://ecija.com,ecija@empresa.com,963301616,General,Servicios abogacía
56,57,3,El-Rayo-Facility-Services,https://www.elrayofs.com,elrayofacilityservices@empresa.com,963467272,General,Limpieza
57,58,3,Elmusa,http://elmusa.es,elmusa@empresa.com,964938080,General,Instalaciones eléctricas
58,59,3,Emuca,https://www.emuca.es,emuca@empresa.com,964102525,General,Mueble y construcción
59,60,3,Enesa-Continental,https://enesacontinental.com,enesacontinental@empresa.com,964006363,General,Construcción
60,61,3,Ernst&Young,https://www.ey.com,ernstyoung@empresa.com,964817777,General,Consultoría/Serv. profesionales
61,62,3,Estimado-Jose-Alfredo,https://estimadojosealfredo.com,estimadojosealfredo@empresa.com,963722828,General,Marketing y publicidad
62,63,3,Evolutio,https://www.evolutio.com,evolutio@empresa.com,964841919,General,Tecnologías de la información
63,64,3,Ferrero,https://www.ferrero.es,ferrero@empresa.com,963305555,General,Alimentación
64,65,3,Fina-Flexible-Packaging,http://www.fina.es,finaflexiblepackaging@empresa.com,963975959,General,Packaging
65,66,3,Firmus,https://www.firmushomes.es,firmus@empresa.com,963609292,General,Inmobiliario
66,67,3,Font-Salem,https://www.fontsalem.com,fontsalem@empresa.com,964659898,General,Bebidas
67,68,3,Fontestad,http://fontestad.com,fontestad@empresa.com,963538787,General,Citrícola
68,69,3,Foodiverse,https://foodiverse.com,foodiverse@empresa.com,964563636,General,Alimentación
69,70,3,FrosTrol,https://frost-trol.com,frostrol@empresa.com,964692525,General,Refrigeración comercial
70,71,3,Gesvalt,https://gesvalt.es,gesvalt@empresa.com,963715454,General,"Consultoría, Valoración y Tasaciones Inmobiliarias"
71,72,3,GFT,https://www.gft.com,gft@empresa.com,963889292,General,Consultoría tecnológica
72,73,3,GOI-Travel,https://www.letsgoi.com,goitravel@empresa.com,964408383,General,Logística
73,74,3,Grant-Thornton-Asesores,https://www.grantthornton.es,grantthorntonasesores@empresa.com,963077878,General,Servicios abogacía
74,75,3,Grefusa,https://grefusa.com,grefusa@empresa.com,963733737,General,Frutos secos y snacks
75,76,3,GRP-Cano-Lopera,https://www.canolopera.es,grpcanolopera@empresa.com,964192727,General,Sistemas de seguridad
76,77,3,Grupo-Alapont,https://alapont.com,alapont@empresa.com,963609696,General,Ascensores
